index,Valeur fonciere
278180,458612.4
278184,411925.0
278188,1021612.3
278191,1217195.5
278197,447998.7
278199,152145.0
278212,548296.0
278215,309682.3
278222,209000.0
278223,315648.7
278224,739620.0
278228,316150.0
278279,465444.0
278282,990717.2
278284,206330.0
278323,444381.0
278325,176196.5
278326,642270.7
278331,993295.0
278339,1048986.0
278342,865407.3
278343,436410.0
278346,1024551.4
278352,244478.0
278355,499170.0
278356,903517.9
278360,476099.0
278387,386845.0
278388,461626.4
278390,431341.7
278391,290422.8
278394,470700.0
278402,715240.0
278409,933312.8
278410,681940.9
278485,364800.0
278487,335007.1
278492,889493.6
278494,156880.0
278499,568350.0
278500,373300.0
278502,405383.0
278505,1243721.0
278507,965324.6
278508,628312.0
278509,2584543.3
278512,327832.3
278515,335991.1
278520,403470.0
278524,406048.3
278527,382090.0
278537,480550.0
278546,1007037.0
278547,313749.5
278548,229200.0
278550,370925.0
278551,199300.0
278553,228050.0
278555,251750.0
278556,460882.0
278558,654800.0
278560,742624.0
278570,408271.6
278573,433395.0
278574,143112.0
278581,614767.0
278585,305100.0
278586,310186.147
278587,590320.0
278588,162530.0
278590,354857.2
278597,291400.0
278600,981617.6
278602,513405.5
278605,513084.0
278606,175364.0
278614,860408.9199999999
278617,668773.1
278622,567712.0
278628,425710.0
278632,875980.0
278634,370474.0
279094,1288250.0
279150,1277133.3
279245,1236405.0
279661,335070.1
279692,318544.484
279782,591029.988
280256,807827.3
280403,142615.0
281382,407357.6
281489,459020.0
281616,538420.0
281913,410925.0
281967,578237.688
282008,1394690.0
282027,1285741.5
282215,997386.1
282218,155037.5
282283,565750.0
282349,139610.0
282408,290295.0
282881,319300.0
282896,851681.2
283185,824930.3
284620,496557.6
284676,170200.0
284813,246775.0
284865,555954.7
284877,210978.5
284885,507498.8
284910,680300.0
284920,2552350.0
284926,1077126.9
284929,835800.8
284946,605675.0
284953,245150.0
284960,2381290.0
284962,1678775.0
285368,107912.0
285369,405022.85
285391,1604782.0
285410,1314028.0
285468,539012.0
285525,207360.0
285689,204825.0
285730,564790.2
285922,630240.0
285977,196320.0
286130,173350.0
286138,837751.0
286230,636407.0
286234,300686.7
286273,328408.9
286295,156238.1
286404,118000.0
286466,515732.5
287108,262569.0
287181,617511.0
287434,1316920.0
287481,498612.5
287605,141128.24
287623,129520.0
287660,685820.0
287669,493885.0
287691,289494.0
287807,406030.0
287874,460992.0
287906,897536.4199999999
288155,230382.3
288222,151116.002
288326,123380.0
288344,313478.0
288361,300687.7
288367,224894.4
288392,329734.5
288406,566096.0
288440,247952.0
288446,131120.0
289309,223817.0
289333,307009.0
289603,2796000.0
289702,795960.0
289780,482146.0
289783,356790.5
289786,637294.0
289791,180282.0
289793,802711.5
289803,241619.2
289812,441120.0
289813,491692.0
289815,504990.0
289824,704083.4
289827,84915.8
289829,88165.8
289833,670861.3
289841,451294.5
289842,160120.0
289863,513350.0
289888,394485.0
289890,187382.0
289893,438402.8
289901,1045155.0
289905,1520382.0
289914,520496.5
289922,281112.0
289928,399289.35
289995,230262.0
290009,285873.0
290014,580409.5
290028,259129.0
290032,620550.0
290042,321735.1
290044,844664.0
290049,248101.0
290054,213300.0
290055,593206.0
290062,86942.78799999999
290070,210678.234
290081,477607.0
290083,196854.0
290090,405748.5
290094,674315.0
290096,367089.5
290103,1351525.0
290109,463732.0
290121,2769850.0
290139,558099.0
290145,640420.0
290149,288373.0
290156,144500.0
290158,486655.0
290160,490387.0
290182,841857.3
290187,681420.0
290203,267050.0
290204,294475.0
290210,2728850.0
290219,110530.0
290220,413654.0
290222,403000.0
290226,239106.4
290239,103702.0
290241,259682.0
290248,367076.5
290255,146021.002
290257,913242.3
290258,496360.0
290306,193700.0
290308,255702.8
290310,335706.4
290313,126280.0
290314,734950.0
290332,156170.0
290333,153500.0
290555,141010.0
290979,437605.0
290992,187046.5
291108,266390.0
291114,75705.5
291116,355150.0
291243,256221.0
291316,351835.0
291406,498961.0
291561,277649.0
291623,523231.4
291730,628710.0
292054,418150.0
292082,134974.36000000002
292109,339200.0
292113,187326.4
292151,355085.1
292224,454308.1
292348,199662.0
293102,196300.5
293117,96500.0
293248,259805.0
293327,254640.0
293525,451275.0
293703,556374.0
293811,230540.0
293818,404000.0
293882,831349.0
293897,319229.5
293913,282150.0
293915,187331.9
294119,218355.314
294130,781800.0
294210,301676.0
294308,244495.2
294622,196649.9
294640,266660.0
294655,285265.1
294656,515660.0
294805,394318.0
294875,209610.5
295003,269880.0
295015,301446.0
295016,266340.0
295032,444729.6
295048,97640.0
295071,460710.5
295792,504860.0
295857,217859.8
295890,293809.0
296010,361960.0
296013,245762.5
296337,281920.0
296341,208350.0
296363,273067.5
296385,286760.0
296388,213200.0
296392,221050.0
296394,260205.0
296450,195930.2
296454,305839.1
296458,174500.0
296467,414434.8
296473,282675.1
296476,1039882.3
296481,57462.0
296484,211317.6
296494,281300.0
296498,197174.9
296499,137500.0
296501,684260.5
296505,318460.0
296513,310100.0
296515,562997.0
296521,351630.0
296527,877591.0
296536,286610.0
296538,264125.0
296539,406116.2
296546,267960.0
296640,190150.0
296645,291621.0
296647,694419.0
296650,1204618.6
296651,204236.0
296656,464450.0
296657,338492.0
296663,557582.4
296668,235400.0
296681,419100.0
296682,408896.0
296686,698984.0
296690,479660.0
296693,1039111.0
296694,407348.0
296696,748315.0
296697,380085.0
296698,172200.0
296701,1770800.0
296711,312732.5
296716,130090.0
296717,312640.0
296744,455447.0
296756,253010.0
296759,445725.0
296761,254700.0
296766,536522.4
296768,312394.5
296769,605200.0
296771,182620.0
296772,292406.2
296773,139034.302
296774,242480.0
296775,449150.0
296778,434150.0
296779,315720.0
296780,154135.108
296787,386400.0
296788,198100.0
296797,409231.9
296800,339850.0
296808,193201.9
296809,304310.0
296813,362220.0
296816,172530.5
296817,146650.0
296819,138730.0
296821,369014.5
296823,396645.0
296825,208223.6
296827,322310.0
296829,427150.0
296832,339855.0
296833,437225.0
296834,207574.0
296835,94060.0
296836,94416.394
296838,539613.4
296839,374400.0
296846,272352.5
296848,291800.0
296849,271092.0
296851,601328.0
296864,304080.0
296865,242600.0
296868,337989.0
296873,283300.0
296875,930763.3
296877,373725.0
296884,402260.0
296885,336374.0
296893,321751.0
296895,337950.0
296896,258716.6
296897,296999.1
296916,553702.0
297449,585475.5
297516,221535.0
297534,296982.55
297549,1097965.0
297607,454625.0
297780,621620.0
297833,238592.0
298001,198510.0
298053,338293.0
298091,253831.0
298292,193085.0
298306,519324.0
298652,488598.2
298669,553800.0
298686,438920.0
298696,277380.0
298721,222458.8
298763,469778.0
298775,385050.0
298785,213848.0
298788,657100.0
298805,139940.0
298873,418708.2
298914,278280.0
298925,417507.2
300049,200200.0
300096,186340.0
300100,306600.0
300489,437471.2
300524,593320.0
300570,371660.0
300617,231254.4
300636,355632.8
300677,435906.6
300678,325214.0
300732,200830.0
300808,242550.0
300823,582794.0
300875,171900.0
300919,423130.0
300925,311491.6
300983,132155.0
301082,217611.0
301084,360034.662
301252,528626.0
301254,278095.0
301267,882675.0
301296,256805.0
301342,432914.0
301433,684800.0
301870,669477.3
301877,130096.0
301894,209258.0
301904,467502.2
301920,221696.5
301926,242090.0
301930,234030.0
302056,161840.0
302067,279913.588
302075,422421.2
302077,180360.0
302084,563080.0
302150,468832.0
302211,508370.0
302763,315451.0
303175,383820.0
303187,134640.0
303193,693850.0
303198,638379.0
303224,189800.0
303420,579800.0
303439,420226.0
303530,156530.0
303559,353300.0
303582,379700.0
303591,254803.6
303597,292675.0
303681,364959.662
303722,382040.0
303811,218430.0
303822,644717.5
303823,711799.0
303833,254250.0
303838,402719.762
303843,340949.662
303861,1086467.2
303865,206580.0
303866,128446.0
303887,534645.0
303924,655500.0
303929,628817.5
303935,192923.8
303937,152700.0
303956,584560.0
303961,323598.9
303964,290592.3
303967,476410.0
303976,893147.2
303979,181819.0
303990,336269.2
303994,1077981.0
303995,213280.0
303996,516842.0
304001,344117.15
304012,355467.3
304013,372290.0
304017,361500.0
304022,411120.0
304059,319375.35
304061,536480.4
304068,628729.0
304088,404507.2
304091,548167.0
304096,439115.0
304103,201700.0
304104,219520.0
304107,629500.0
304110,316115.7
304112,351622.15
304116,146320.0
304118,416173.4
304119,652177.3
304121,186961.0
304129,222650.0
304130,118823.0
304133,688921.5
304137,179940.0
304139,356340.15
304140,231858.6
304143,369880.0
304148,608757.2
304151,298726.2
304152,227350.0
304154,211300.0
304160,478504.0
304166,386045.0
304173,122220.0
304174,190700.0
304182,382953.2
304184,262980.0
304192,368940.0
304193,398480.0
304195,610240.0
304197,482531.0
304198,521777.4
304203,585655.0
304210,358303.2
304211,453902.8
304217,606808.2
304221,767750.0
304224,286868.8
304225,418358.0
304227,466356.4
304228,443442.4
304233,422860.0
304236,652744.0
304237,248213.0
304242,623962.5
304243,164220.0
304245,270616.0
304246,330314.0
304248,404714.0
304250,231450.0
304255,944655.6
304264,306465.0
304265,401004.0
304269,161100.0
304270,219759.0
304273,213500.0
304277,1324300.0
304279,237550.0
304281,119773.0
304282,285470.0
304284,515433.0
304287,569617.5
304292,680120.0
304298,555464.0
304304,391630.0
304306,203740.0
304308,218785.0
304542,483034.0
304550,196860.0
304552,390790.0
304559,500988.0
304561,342290.0
304563,129520.0
304566,350155.0
304574,166310.0
304603,185050.0
304610,260540.0
304611,305168.1
304612,406907.06200000003
304619,268964.8
304622,708260.0
304638,267774.8
304642,338480.15
304829,603599.0
305052,572194.0
305070,873625.0
305592,1093160.0
305753,302947.0
305964,268670.0
306292,287415.0
306691,919112.2
306770,469289.0
306791,498869.0
306829,126800.0
306870,88050.0
306886,541040.5
306889,429461.7
306890,134020.0
306918,259562.5
306923,60500.0
306925,199817.0
306926,821034.2
306930,258630.0
306943,658250.7
306945,287083.4
306946,224990.0
306950,520150.0
306952,245581.0
306976,550398.5
307012,753487.3099999999
